Onthology ID;Ontology Name;Custom Name;Full Link;Parent
CHMO:0000228;CHMO: spectroscopy;spectroscopy;http://purl.obolibrary.org/obo/CHMO_0000228;=class,OBI:0000070(action)
CHMO:0000480;CHMO: electron ionisation mass spectrometry;EI-MS;http://purl.obolibrary.org/obo/CHMO_0000480;=detector,CHMO:0002862(subtype)
CHMO:0000497;CHMO: gas chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000497;
CHMO:0000524;CHMO: liquid chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000524;
CHMO:0002876;CHMO: high performance liquid chromatography-tandem mass spectrometry;HPLC/MS;http://purl.obolibrary.org/obo/CHMO_0002876;=subtype,CHMO:0001004(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
CHMO:0002862;CHMO: gas chromatography-tandem mass spectrometry;GC/MS;http://purl.obolibrary.org/obo/CHMO_0002862;=subtype,CHMO:0001002(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
CHMO:0000701;CHMO: liquid chromatography-tandem mass spectrometry;LC/MS;http://purl.obolibrary.org/obo/CHMO_0000701;=subtype,CHMO:0001004(type)|ChemASAP:0000002(mode)|ChemASAP:0000003(mode)
;;;;
CHMO:0000796;CHMO: high-performance liquid chromatography-mass spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000796;
CHMO:0000229;CHMO: acoustic emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000229;
CHMO:0000230;CHMO: alpha-particle spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000230;
CHMO:0000232;CHMO: electronic spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000232;
CHMO:0000233;CHMO: atomic spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000233;
CHMO:0000234;CHMO: atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000234;
CHMO:0000235;CHMO: atomic absorption glow-discharge spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000235;
CHMO:0000236;CHMO: cold vapour atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000236;
CHMO:0000237;CHMO: electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000237;
CHMO:0000238;CHMO: capillary electrophoresis-electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000238;
CHMO:0000239;CHMO: graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000239;
CHMO:0000240;CHMO: slurry sampling graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000240;
CHMO:0000241;CHMO: solid sampling graphite furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000241;
CHMO:0000242;CHMO: quartz tube atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000242;
CHMO:0000244;CHMO: thermospray flame furnace atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000244;
CHMO:0000245;CHMO: flow injection thermospray flame furnace absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000245;
CHMO:0000243;CHMO: flame atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000243;
CHMO:0000246;CHMO: flow injection atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000246;
CHMO:0000247;CHMO: flow injection electrothermal atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000247;
CHMO:0000248;CHMO: flow injection flame atomic absorption spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000248;
CHMO:0000249;CHMO: hydride generation atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000249;
CHMO:0000250;CHMO: line-source atomic absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000250;
CHMO:0000251;CHMO: atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000251;
CHMO:0000252;CHMO: electrothermal atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000252;
CHMO:0000253;CHMO: graphite furnace atomic emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000253;
CHMO:0000254;CHMO: furnace atomic nonthermal excitation spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000254;
CHMO:0001094;CHMO: furnace ionisation nonthermal excitation spectrometry;;http://purl.obolibrary.org/obo/CHMO_0001094;
CHMO:0000255;CHMO: flame atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000255;
CHMO:0000256;CHMO: glow discharge atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000256;
CHMO:0002626;CHMO: hollow-cathode atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002626;
CHMO:0002625;CHMO: particle-beam/hollow-cathode atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002625;
CHMO:0000257;CHMO: laser-induced atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000257;
CHMO:0000258;CHMO: laser-induced breakdown spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000258;
CHMO:0000259;CHMO: femtosecond laser-induced breakdown spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000259;
CHMO:0000260;CHMO: laser-induced shock wave plasma spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000260;
CHMO:0000261;CHMO: micro laser-induced breakdown atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000261;
CHMO:0000262;CHMO: nanosecond laser-induced breakdown spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000262;
CHMO:0000263;CHMO: plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000263;
CHMO:0000264;CHMO: capacitively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000264;
CHMO:0000265;CHMO: direct current plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000265;
CHMO:0000267;CHMO: inductively-coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000267;
CHMO:0000268;CHMO: hydride generation inductively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000268;
CHMO:0000269;CHMO: laser ablation inductively-coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000269;
CHMO:0000270;CHMO: laser microprobe inductively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000270;
CHMO:0000272;CHMO: nebulisation inductively-coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000272;
CHMO:0000273;CHMO: ultrasonic nebulisation inductively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000273;
CHMO:0000274;CHMO: solid phase extraction inductively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000274;
CHMO:0000275;CHMO: flow injection solid phase extraction inductively coupled plasma atomic emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000275;
CHMO:0000276;CHMO: metastable transfer emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000276;
CHMO:0000277;CHMO: microwave induced plasma atomic emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000277;
CHMO:0000278;CHMO: spark atomic emission spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000278;
CHMO:0000279;CHMO: atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000279;
CHMO:0000280;CHMO: cold vapour atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000280;
CHMO:0000281;CHMO: electrothermal atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000281;
CHMO:0000282;CHMO: flame atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000282;
CHMO:0000283;CHMO: hydride generation atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000283;
CHMO:0000284;CHMO: laser-enhanced atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000284;
CHMO:0000285;CHMO: plasma atomic fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000285;
CHMO:0000266;CHMO: furnace atomisation plasma emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000266;
CHMO:0000286;CHMO: inductively coupled plasma atomic fluorescence spectrometry;;http://purl.obolibrary.org/obo/CHMO_0000286;
CHMO:0000291;CHMO: spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000291;
CHMO:0000292;CHMO: ultraviolet-visible spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000292;
CHMO:0000293;CHMO: differential optical absorption spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000293;
CHMO:0000294;CHMO: reflectance ultraviolet-visible spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000294;
CHMO:0000899;CHMO: diffuse reflectance ultraviolet–visible spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000899;
CHMO:0001253;CHMO: ultraviolet spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0001253;
CHMO:0000296;CHMO: vacuum ultraviolet spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000296;
CHMO:0002590;CHMO: visible spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0002590;
CHMO:0000295;CHMO: equimolar spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000295;
CHMO:0000792;CHMO: ultraviolet-visible-near infrared spectrophotometry;;http://purl.obolibrary.org/obo/CHMO_0000792;
CHMO:0000297;CHMO: X-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000297;
CHMO:0000298;CHMO: X-ray absorption spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000298;
CHMO:0000299;CHMO: X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000299;
CHMO:0000300;CHMO: extended X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000300;
CHMO:0000301;CHMO: quick extended X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000301;
CHMO:0000302;CHMO: reflection extended X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000302;
CHMO:0000303;CHMO: surface extended X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000303;
CHMO:0000304;CHMO: total-reflection X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000304;
CHMO:0000305;CHMO: near-edge X-ray absorption fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000305;
CHMO:0000306;CHMO: X-ray microprobe spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000306;
CHMO:0000307;CHMO: X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000307;
CHMO:0000308;CHMO: alpha-particle X-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000308;
CHMO:0000309;CHMO: energy-dispersive X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000309;
CHMO:0002212;CHMO: single-particle energy-dispersive X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002212;
CHMO:0000310;CHMO: non-resonant X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000310;
CHMO:0000311;CHMO: particle-induced X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000311;
CHMO:0000312;CHMO: microbeam particle-induced X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000312;
CHMO:0000313;CHMO: electron probe X-ray microanalysis;;http://purl.obolibrary.org/obo/CHMO_0000313;
CHMO:0002297;CHMO: electron-induced X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002297;
CHMO:0002298;CHMO: proton-induced X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0002298;
CHMO:0000314;CHMO: wavelength dispersive X-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000314;
CHMO:0000315;CHMO: X-ray microemission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000315;
CHMO:0000316;CHMO: soft X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000316;
CHMO:0000317;CHMO: ultra soft X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000317;
CHMO:0001101;CHMO: synchrotron radiation X-ray emission spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0001101;
CHMO:0000318;CHMO: synchrotron radiation excited X-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000318;
CHMO:0000319;CHMO: X-ray reflection spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000319;
CHMO:0000320;CHMO: total reflection X-ray fluorescence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000320;
CHMO:0000321;CHMO: beta-particle spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000321;
CHMO:0000322;CHMO: liquid scintillation counting;;http://purl.obolibrary.org/obo/CHMO_0000322;
CHMO:0000331;CHMO: electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000331;
CHMO:0000164;CHMO: electron scattering;;http://purl.obolibrary.org/obo/CHMO_0000164;
CHMO:0000165;CHMO: nanowire electron scattering;;http://purl.obolibrary.org/obo/CHMO_0000165;
CHMO:0000332;CHMO: appearance potential spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000332;
CHMO:0000333;CHMO: Auger electron appearance potential spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000333;
CHMO:0000334;CHMO: disappearance potential spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000334;
CHMO:0000335;CHMO: electron appearance potential fine structure analysis;;http://purl.obolibrary.org/obo/CHMO_0000335;
CHMO:0000336;CHMO: total current spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000336;
CHMO:0000337;CHMO: X-ray appearance potential spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000337;
CHMO:0000338;CHMO: X-ray excited electron appearance potential spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000338;
CHMO:0000339;CHMO: Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000339;
CHMO:0000340;CHMO: angular dependent Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000340;
CHMO:0000341;CHMO: resonant Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000341;
CHMO:0000342;CHMO: angle-resolved resonant Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000342;
CHMO:0000343;CHMO: Auger electron partial yield spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000343;
CHMO:0000344;CHMO: electron-excited Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000344;
CHMO:0000345;CHMO: electron microprobe Auger spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000345;
CHMO:0000346;CHMO: ion-excited Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000346;
CHMO:0000347;CHMO: He+-excited Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000347;
CHMO:0000348;CHMO: proton-induced Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000348;
CHMO:0000349;CHMO: angle-resolved ion-excited Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000349;
CHMO:0000350;CHMO: scanning Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000350;
CHMO:0000351;CHMO: spin-polarised Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000351;
CHMO:0000352;CHMO: spin-polarised angle-resolved Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000352;
CHMO:0000353;CHMO: X-ray excited Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000353;
CHMO:0000354;CHMO: continuous X-ray-induced Auger electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000354;
CHMO:0000355;CHMO: electron coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000355;
CHMO:0000356;CHMO: Auger-photoelectron coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000356;
CHMO:0000357;CHMO: electron-electron coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000357;
CHMO:0000358;CHMO: angle-resolved electron-electron coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000358;
CHMO:0000359;CHMO: electron-electron-ion coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000359;
CHMO:0000360;CHMO: angle-resolved electron-electron ion coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000360;
CHMO:0000361;CHMO: electron-ion coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000361;
CHMO:0000362;CHMO: metastable-quenched electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000362;
CHMO:0000363;CHMO: resonance-ionisation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000363;
CHMO:0000364;CHMO: surface Penning-ionisation electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000364;
CHMO:0000365;CHMO: photoion-photoelectron coincidence spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000365;
CHMO:0000366;CHMO: electron energy loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000366;
CHMO:0000367;CHMO: characteristic energy-loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000367;
CHMO:0000368;CHMO: extended electron energy loss fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000368;
CHMO:0000369;CHMO: surface extended electron energy loss fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000369;
CHMO:0000370;CHMO: high-resolution energy loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000370;
CHMO:0000371;CHMO: ionisation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000371;
CHMO:0000372;CHMO: low-energy electron loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000372;
CHMO:0000373;CHMO: transmission electron energy loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000373;
CHMO:0000374;CHMO: vibrational electron energy loss spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000374;
CHMO:0000375;CHMO: field-emission electron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000375;
CHMO:0000376;CHMO: field-emission electron spin-polarization spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000376;
CHMO:0000377;CHMO: inverse photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000377;
CHMO:0000378;CHMO: bremsstrahlung isochromat spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000378;
CHMO:0000379;CHMO: angle-resolved bremsstrahlung isochromat spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000379;
CHMO:0000380;CHMO: momentum-resolved bremsstrahlung spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000380;
CHMO:0000381;CHMO: ultraviolet bremsstrahlung isochromat spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000381;
CHMO:0000382;CHMO: X-ray bremsstrahlung isochromat spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000382;
CHMO:0000383;CHMO: k-resolved inverse photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000383;
CHMO:0000384;CHMO: spin-polarised inverse photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000384;
CHMO:0000385;CHMO: metastable de-excitation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000385;
CHMO:0000386;CHMO: spin-polarized metastable de-excitation spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000386;
CHMO:0000387;CHMO: photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000387;
CHMO:0000388;CHMO: angle-resolved photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000388;
CHMO:0000389;CHMO: depth-selective photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000389;
CHMO:0000390;CHMO: photoelectron extended fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000390;
CHMO:0000391;CHMO: angle-resolved photoelectron extended fine structure spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000391;
CHMO:0000392;CHMO: photoelectron microspectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000392;
CHMO:0000393;CHMO: extreme ultraviolet photoelectron microspectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000393;
CHMO:0000394;CHMO: synchrotron radiation photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000394;
CHMO:0000395;CHMO: angle-resolved synchotron radiation photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000395;
CHMO:0000396;CHMO: constant-final-state spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000396;
CHMO:0000397;CHMO: constant-initial-state spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000397;
CHMO:0000398;CHMO: photoelectron yield spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000398;
CHMO:0000399;CHMO: partial-yield spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000399;
CHMO:0000400;CHMO: resonance-enhanced photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000400;
CHMO:0000401;CHMO: ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000401;
CHMO:0000402;CHMO: angle-resolved ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000402;
CHMO:0000403;CHMO: vacuum ultraviolet photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000403;
CHMO:0000404;CHMO: X-ray photoelectron spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000404;
